Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter
1664200555.2714581,10,1664212195,0,GPS1_Frame,42.314308166503906,-71.10481262207031,67.0999984741211,326541.09375,4686819.5,19,T
1664200556.2702456,11,1664212196,0,GPS1_Frame,42.314308166503906,-71.10481262207031,67.0999984741211,326541.09375,4686819.5,19,T
1664200557.2707329,12,1664212197,0,GPS1_Frame,42.314308166503906,-71.10481262207031,67.0999984741211,326541.09375,4686819.5,19,T
1664200558.2701387,13,1664212198,0,GPS1_Frame,42.314308166503906,-71.10481262207031,67.0999984741211,326541.09375,4686819.5,19,T
1664200559.2696855,14,1664212199,0,GPS1_Frame,42.314308166503906,-71.10481262207031,67.0999984741211,326541.09375,4686819.5,19,T
1664200560.2904234,15,1664212140,0,GPS1_Frame,42.314308166503906,-71.10481262207031,66.5,326540.9375,4686819.5,19,T
1664200561.297225,16,1664212141,0,GPS1_Frame,42.314308166503906,-71.10481262207031,66.4000015258789,326540.96875,4686820.0,19,T
1664200562.270452,17,1664212142,0,GPS1_Frame,42.314308166503906,-71.10482025146484,65.19999694824219,326540.8125,4686820.0,19,T
1664200563.2739837,18,1664212143,0,GPS1_Frame,42.314308166503906,-71.10482025146484,65.0999984741211,326540.8125,4686820.0,19,T
1664200564.2688267,19,1664212144,0,GPS1_Frame,42.314308166503906,-71.10482025146484,64.5999984741211,326540.8125,4686820.0,19,T
1664200565.269978,20,1664212145,0,GPS1_Frame,42.31431198120117,-71.10482025146484,63.900001525878906,326540.8125,4686820.0,19,T
1664200566.2743986,21,1664212146,0,GPS1_Frame,42.31431198120117,-71.10482025146484,63.79999923706055,326540.8125,4686820.0,19,T
1664200567.2735531,22,1664212147,0,GPS1_Frame,42.31431198120117,-71.10482025146484,63.70000076293945,326540.8125,4686820.0,19,T
1664200568.2732756,23,1664212148,0,GPS1_Frame,42.31431198120117,-71.10482025146484,63.599998474121094,326540.8125,4686820.0,19,T
1664200569.2740839,24,1664212149,0,GPS1_Frame,42.31431198120117,-71.10482025146484,63.599998474121094,326540.8125,4686820.0,19,T
1664200570.2736795,25,1664212150,0,GPS1_Frame,42.31431198120117,-71.10482025146484,63.5,326540.8125,4686820.0,19,T
1664200571.2725468,26,1664212151,0,GPS1_Frame,42.31431198120117,-71.10482025146484,63.5,326540.8125,4686820.0,19,T
1664200572.274389,27,1664212152,0,GPS1_Frame,42.31431198120117,-71.10482025146484,63.400001525878906,326540.84375,4686820.5,19,T
1664200573.2741804,28,1664212153,0,GPS1_Frame,42.31431198120117,-71.10482025146484,63.400001525878906,326540.84375,4686820.5,19,T
1664200574.273206,29,1664212154,0,GPS1_Frame,42.31431198120117,-71.10482025146484,63.29999923706055,326540.84375,4686820.5,19,T
1664200575.2728367,30,1664212155,0,GPS1_Frame,42.31431198120117,-71.10482025146484,63.29999923706055,326540.84375,4686820.5,19,T
1664200576.2739804,31,1664212156,0,GPS1_Frame,42.31431198120117,-71.10482025146484,63.20000076293945,326540.84375,4686820.5,19,T
1664200577.2739868,32,1664212157,0,GPS1_Frame,42.31431198120117,-71.10482025146484,63.099998474121094,326540.84375,4686820.5,19,T
1664200578.2738602,33,1664212158,0,GPS1_Frame,42.31431198120117,-71.10482025146484,63.0,326540.84375,4686820.5,19,T
1664200579.2744198,34,1664212159,0,GPS1_Frame,42.31431198120117,-71.10482025146484,63.0,326540.84375,4686820.5,19,T
1664200580.2739344,35,1664212160,0,GPS1_Frame,42.31431198120117,-71.10482025146484,62.900001525878906,326540.84375,4686820.5,19,T
1664200581.2741375,36,1664212161,0,GPS1_Frame,42.31431198120117,-71.10482025146484,62.79999923706055,326540.6875,4686820.5,19,T
1664200582.2735271,37,1664212162,0,GPS1_Frame,42.31431198120117,-71.10482025146484,62.70000076293945,326540.6875,4686820.5,19,T
1664200583.2718253,38,1664212163,0,GPS1_Frame,42.31431198120117,-71.10482025146484,62.70000076293945,326540.6875,4686820.5,19,T
1664200584.273115,39,1664212164,0,GPS1_Frame,42.31431198120117,-71.10482025146484,62.70000076293945,326540.6875,4686820.5,19,T
1664200585.2730641,40,1664212165,0,GPS1_Frame,42.31431198120117,-71.10482025146484,62.70000076293945,326540.6875,4686820.5,19,T
1664200586.2721992,41,1664212166,0,GPS1_Frame,42.31431198120117,-71.10482025146484,62.900001525878906,326540.8125,4686820.0,19,T
1664200587.2738593,42,1664212167,0,GPS1_Frame,42.31431198120117,-71.10482025146484,62.79999923706055,326540.84375,4686820.5,19,T
1664200588.2736135,43,1664212168,0,GPS1_Frame,42.31431198120117,-71.10482025146484,62.70000076293945,326540.84375,4686820.5,19,T
1664200589.272268,44,1664212169,0,GPS1_Frame,42.314308166503906,-71.10482025146484,63.099998474121094,326540.8125,4686820.0,19,T
1664200590.2737296,45,1664212170,0,GPS1_Frame,42.31431198120117,-71.10481262207031,63.0,326540.96875,4686820.0,19,T
1664200591.2723691,46,1664212171,0,GPS1_Frame,42.31431198120117,-71.10481262207031,63.0,326540.96875,4686820.0,19,T
1664200592.2735186,47,1664212172,0,GPS1_Frame,42.31431198120117,-71.10482025146484,62.900001525878906,326540.8125,4686820.0,19,T
1664200593.2725422,48,1664212173,0,GPS1_Frame,42.31431198120117,-71.10482025146484,62.900001525878906,326540.8125,4686820.0,19,T
1664200594.2737172,49,1664212174,0,GPS1_Frame,42.31431198120117,-71.10482025146484,62.79999923706055,326540.8125,4686820.0,19,T
1664200595.2727778,50,1664212175,0,GPS1_Frame,42.31431198120117,-71.10482025146484,62.70000076293945,326540.8125,4686820.0,19,T
