Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter
1664199739.2716367,11,1664212160,0,GPS1_Frame,42.31239700317383,-71.10172271728516,73.9000015258789,326790.65625,4686601.5,19,T
1664199740.2706106,12,1664212161,0,GPS1_Frame,42.31239700317383,-71.10172271728516,73.30000305175781,326790.5,4686601.5,19,T
1664199741.270619,13,1664212162,0,GPS1_Frame,42.3123893737793,-71.10173034667969,72.19999694824219,326790.0625,4686600.5,19,T
1664199742.2706876,14,1664212163,0,GPS1_Frame,42.31238555908203,-71.10173034667969,71.69999694824219,326789.78125,4686600.0,19,T
1664199743.2709117,15,1664212164,0,GPS1_Frame,42.3123893737793,-71.10173797607422,71.9000015258789,326789.25,4686600.5,19,T
1664199744.2703912,16,1664212165,0,GPS1_Frame,42.31238555908203,-71.10174560546875,72.0,326788.5625,4686600.0,19,T
1664199745.2713797,17,1664212166,0,GPS1_Frame,42.3123893737793,-71.10175323486328,71.80000305175781,326788.15625,4686600.5,19,T
1664199746.2712955,18,1664212167,0,GPS1_Frame,42.31239318847656,-71.10176086425781,71.69999694824219,326787.625,4686601.0,19,T
1664199747.270848,19,1664212168,0,GPS1_Frame,42.312400817871094,-71.10176086425781,71.69999694824219,326787.5,4686602.0,19,T
1664199748.2717452,20,1664212169,0,GPS1_Frame,42.312408447265625,-71.10176086425781,71.69999694824219,326787.375,4686603.0,19,T
1664199749.270519,21,1664212170,0,GPS1_Frame,42.31241989135742,-71.10176086425781,71.69999694824219,326787.40625,4686604.0,19,T
1664199750.2702978,22,1664212171,0,GPS1_Frame,42.31242370605469,-71.10176849365234,71.9000015258789,326787.0,4686604.5,19,T
1664199751.270908,23,1664212172,0,GPS1_Frame,42.312435150146484,-71.10177612304688,72.0,326786.5,4686605.5,19,T
1664199752.277661,24,1664212173,0,GPS1_Frame,42.31243896484375,-71.1017837524414,72.0,326785.8125,4686606.0,19,T
1664199753.2701955,25,1664212174,0,GPS1_Frame,42.31244659423828,-71.10179138183594,72.0999984741211,326785.15625,4686607.0,19,T
1664199754.2703414,26,1664212175,0,GPS1_Frame,42.31245803833008,-71.10179901123047,72.0999984741211,326784.5,4686608.0,19,T
1664199755.2706296,27,1664212176,0,GPS1_Frame,42.312461853027344,-71.101806640625,72.0999984741211,326783.6875,4686609.0,19,T
