Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter,Quality
1665533111.104788,313,1665461111,0,GPS1_Frame,42.33721160888672,-71.08686828613281,8.300000190734863,328082.34375,4689326.5,19,T,4
1665533112.1032524,314,1665461112,0,GPS1_Frame,42.33721160888672,-71.08686828613281,8.300000190734863,328082.34375,4689326.5,19,T,4
1665533113.1088524,315,1665461113,0,GPS1_Frame,42.33721160888672,-71.08686828613281,8.300000190734863,328082.3125,4689326.5,19,T,4
1665533114.0982058,316,1665461114,0,GPS1_Frame,42.33721160888672,-71.08686828613281,8.399999618530273,328082.34375,4689326.5,19,T,4
1665533115.1067653,317,1665461115,0,GPS1_Frame,42.337215423583984,-71.08686828613281,8.399999618530273,328082.1875,4689327.0,19,T,4
1665533116.110003,318,1665461116,0,GPS1_Frame,42.337215423583984,-71.08687591552734,8.5,328081.8125,4689327.0,19,T,4
1665533117.0993085,319,1665461117,0,GPS1_Frame,42.337215423583984,-71.08686828613281,8.399999618530273,328082.1875,4689327.0,19,T,4
1665533118.0967736,320,1665461118,0,GPS1_Frame,42.337215423583984,-71.08686828613281,8.399999618530273,328082.1875,4689327.5,19,T,4
1665533119.0943859,321,1665461119,0,GPS1_Frame,42.33721923828125,-71.08686828613281,8.399999618530273,328082.28125,4689327.5,19,T,4
1665533120.1109905,322,1665461120,0,GPS1_Frame,42.337223052978516,-71.08686828613281,8.399999618530273,328082.3125,4689328.0,19,T,4
1665533121.0925968,323,1665461121,0,GPS1_Frame,42.33722686767578,-71.08686828613281,8.300000190734863,328082.3125,4689328.5,19,T,4
1665533122.1099079,324,1665461122,0,GPS1_Frame,42.33723068237305,-71.08686828613281,8.300000190734863,328082.3125,4689329.0,19,T,4
1665533123.1097317,325,1665461123,0,GPS1_Frame,42.33723449707031,-71.08686828613281,8.399999618530273,328082.21875,4689329.0,19,T,4
1665533124.132897,326,1665461124,0,GPS1_Frame,42.33723449707031,-71.08686828613281,8.300000190734863,328082.28125,4689329.5,19,T,4
1665533125.1048608,327,1665461125,0,GPS1_Frame,42.33723831176758,-71.08686828613281,8.300000190734863,328082.25,4689329.5,19,T,4
1665533126.109461,328,1665461126,0,GPS1_Frame,42.337242126464844,-71.08686828613281,8.300000190734863,328082.21875,4689330.0,19,T,4
1665533127.1005583,329,1665461127,0,GPS1_Frame,42.33724594116211,-71.08686828613281,8.300000190734863,328082.28125,4689330.5,19,T,4
1665533128.1029072,330,1665461128,0,GPS1_Frame,42.33724594116211,-71.08686828613281,8.399999618530273,328082.3125,4689330.5,19,T,4
1665533129.1017816,331,1665461129,0,GPS1_Frame,42.337249755859375,-71.08686828613281,8.399999618530273,328082.375,4689331.0,19,T,4
1665533130.1117516,332,1665461130,0,GPS1_Frame,42.33725357055664,-71.08686828613281,8.399999618530273,328082.5,4689331.5,19,T,4
1665533131.112157,333,1665461131,0,GPS1_Frame,42.337257385253906,-71.08686828613281,8.399999618530273,328082.625,4689331.5,19,T,4
1665533132.0947478,334,1665461132,0,GPS1_Frame,42.337257385253906,-71.08686828613281,8.399999618530273,328082.8125,4689332.0,19,T,4
1665533133.0891714,335,1665461133,0,GPS1_Frame,42.33726119995117,-71.08686065673828,8.399999618530273,328082.9375,4689332.0,19,T,4
1665533134.1069975,336,1665461134,0,GPS1_Frame,42.33726501464844,-71.08686065673828,8.300000190734863,328083.0,4689332.5,19,T,4
1665533135.0954733,337,1665461135,0,GPS1_Frame,42.3372688293457,-71.08686065673828,8.399999618530273,328083.15625,4689333.0,19,T,5
1665533136.1041906,338,1665461136,0,GPS1_Frame,42.3372688293457,-71.08686065673828,8.399999618530273,328083.1875,4689333.0,19,T,5
1665533137.1027625,339,1665461137,0,GPS1_Frame,42.33727264404297,-71.08686065673828,8.399999618530273,328083.25,4689333.5,19,T,5
1665533138.0952513,340,1665461138,0,GPS1_Frame,42.337276458740234,-71.08686065673828,8.399999618530273,328083.34375,4689333.5,19,T,5
1665533139.103573,341,1665461139,0,GPS1_Frame,42.337276458740234,-71.08686065673828,8.399999618530273,328083.375,4689334.0,19,T,5
